experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_42,1,2,0,160.18,-1830.3,0,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,2,3,0,2179.81,2413.74,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,3,2,1,1043.54,21.41,0,1781492060.37,1781492060.37,1781492180.37,20.0,1781492142.771,5.0,,,,expired
stochastic/N_6_seed_42,4,5,0,702.9,912.33,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,5,1,1,2357.99,-2013.73,0,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,6,1,0,2168.81,1957.31,0,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,7,2,0,2641.24,1979.29,0,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,8,5,0,2415.07,416.22,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,9,3,0,2374.32,370.92,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,10,2,1,2753.94,-1583.25,0,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,11,5,0,663.64,-2112.05,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,12,3,0,1448.13,1500.74,1,1781492060.37,1781492060.37,1781492180.37,20.0,,,,,,expired
stochastic/N_6_seed_42,13,1,1,755.15,2178.62,0,1781492064.06,1781492064.06,1781492184.06,20.0,,,,,,expired
stochastic/N_6_seed_42,14,1,0,1847.87,-1716.21,0,1781492084.16,1781492084.16,1781492204.16,20.0,,,,,,expired
stochastic/N_6_seed_42,15,2,0,1540.81,1763.83,0,1781492090.4,1781492090.4,1781492210.4,20.0,,,,,,expired
stochastic/N_6_seed_42,16,1,0,1739.43,-2216.6,0,1781492097.79,1781492097.79,1781492217.79,20.0,,,,,,expired
stochastic/N_6_seed_42,17,2,1,1010.62,1525.23,0,1781492152.5,1781492152.5,1781492272.5,20.0,1781492238.973,1.0,,,,expired
stochastic/N_6_seed_42,18,2,1,668.96,161.34,0,1781492156.38,1781492156.38,1781492276.38,20.0,,,,,,expired
stochastic/N_6_seed_42,19,5,1,2652.25,-1406.15,1,1781492162.05,1781492162.05,1781492282.05,20.0,,,,,,expired
stochastic/N_6_seed_42,20,2,0,1995.26,518.39,0,1781492210.54,1781492210.54,1781492330.54,20.0,,,,,,expired
stochastic/N_6_seed_42,21,1,0,535.54,444.92,0,1781492230.03,1781492230.03,1781492350.03,20.0,1781492230.989,2.0,,,,expired
stochastic/N_6_seed_42,22,5,0,1262.45,1886.08,1,1781492233.37,1781492233.37,1781492353.37,20.0,1781492286.357,1.0,1781492286.465,1781492316.498,1.0,investigated
stochastic/N_6_seed_42,23,4,0,1463.56,-2360.33,1,1781492235.98,1781492235.98,1781492355.98,20.0,,,,,,expired
stochastic/N_6_seed_42,24,1,0,1816.07,220.03,0,1781492259.28,1781492259.28,1781492379.28,20.0,1781492377.135,3.0,,,,expired
stochastic/N_6_seed_42,25,4,0,1037.63,439.71,1,1781492306.48,1781492306.48,1781492426.48,20.0,,,,,,expired
stochastic/N_6_seed_42,26,3,0,1550.34,-982.96,1,1781492416.64,1781492416.64,1781492536.64,20.0,1781492428.566,4.0,1781492428.686,1781492458.702,4.0,investigated
stochastic/N_6_seed_42,27,3,0,1319.08,567.37,1,1781492462.0,1781492462.0,1781492582.0,20.0,1781492464.44,3.0,1781492464.56,1781492494.574,3.0,investigated
stochastic/N_6_seed_42,28,1,0,1905.95,-446.3,0,1781492491.37,1781492491.37,1781492611.37,20.0,,,,,,expired
stochastic/N_6_seed_42,29,2,1,2119.03,1882.07,0,1781492511.16,1781492511.16,1781492631.16,20.0,,,,,,expired
stochastic/N_6_seed_42,30,1,0,2104.46,2199.77,0,1781492531.63,1781492531.63,1781492651.63,20.0,,,,,,expired
stochastic/N_6_seed_42,31,3,1,1304.75,1076.06,1,1781492576.27,1781492576.27,1781492696.27,20.0,,,,,,expired
stochastic/N_6_seed_42,32,1,1,1674.2,1947.43,0,1781492578.72,1781492578.72,1781492698.72,20.0,1781492598.858,2.0,,,,expired
stochastic/N_6_seed_42,33,1,1,2365.68,2552.8,0,1781492581.43,1781492581.43,1781492701.43,20.0,1781492585.965,1.0,,,,expired
stochastic/N_6_seed_42,34,3,1,604.91,2718.16,1,1781492593.19,1781492593.19,1781492713.19,20.0,,,,,,expired
stochastic/N_6_seed_42,35,2,1,507.96,-452.17,0,1781492608.16,1781492608.16,1781492728.16,20.0,,,,,,expired
